commit,testscript,usingtime,usingbytes,usinggc,usingallocs,drawtime,drawbytes,drawgc,drawallocs
9df68de0,array_aesthetics.jl,8.516755581,839775950,0.351725659,14063955,32.519918116,4337344700,2.078222568,81107582
9df68de0,aspect_ratio.jl,8.618924499,839794638,0.3538265,14063955,33.586282456,4440877223,2.127406746,82993228
9df68de0,array_of_arrays.jl,8.618987124,839776830,0.35653758,14063954,37.159428953,4808805002,2.27588671,89729588
9df68de0,auto_enumerate.jl,8.38652597,839773774,0.346431917,14063955,35.598552867,4640501346,2.19448435,86757991
9df68de0,beeswarm.jl,8.551925053,839777118,0.336148337,14063956,33.084787403,4200176094,2.400737312,78582431
9df68de0,boxplot.jl,8.633529458,839789118,0.344574035,14063954,37.824602349,4832672668,2.697193621,90350921
9df68de0,boxplot_no_aesy.jl,8.582385105,839793502,0.339083771,14063975,34.721626149,4520736051,2.563678957,84460793
9df68de0,color_bar.jl,8.520533544,839780878,0.338858499,14063975,12.300660901,1629967585,0.747914717,30615534
9df68de0,boxplot_nonstandard.jl,8.669404695,839776990,0.341718806,14063975,37.04232786,4719221128,2.681148183,88112536
9df68de0,colored_boxplot.jl,23.571693326,871647371,0.34995422,14659970,12.138740566,1546521450,0.835168786,29087432
9df68de0,colored_points.jl,8.804269425,839220542,0.349855376,14054364,37.792080671,4713599291,2.764511431,87811901
9df68de0,colored_ribbon.jl,8.529174568,839218206,0.339762709,14054362,39.533229194,4976216031,2.776576207,92815603
9df68de0,colored_smooth_lm.jl,8.69641995,839234878,0.348425058,14054364,44.925297633,5936655586,2.992223449,110708221
9df68de0,colorful_hist.jl,8.495499743,839236046,0.349547243,14054365,39.611238481,4937807677,2.743291665,92565961
9df68de0,colorful_density.jl,8.53771639,839219534,0.347987309,14054365,42.294016299,5304781475,2.823906408,98949560
9df68de0,continuous_color_scale_range.jl,9.069033561,839218366,0.354204881,14054364,35.238119386,4555994562,2.18189695,85030033
9df68de0,continuous_scale_range.jl,8.560825346,839234878,0.342222564,14054364,31.964970308,4277351246,2.017625356,80007436
9df68de0,contour_color_none.jl,8.521279841,839220542,0.342065833,14054364,33.119071074,4365987733,2.119780475,81556533
9df68de0,contour_dataframe.jl,8.553653572,839217198,0.34749346,14054363,41.091917889,5218944515,2.913964828,97905553
9df68de0,contour_function.jl,8.695398048,839234878,0.350493931,14054364,37.088874705,4844560282,2.26074082,90457152
9df68de0,contour_layers.jl,8.608503833,839233710,0.347515831,14054363,39.116495876,5102213163,2.398992675,95465928
9df68de0,contour_matrix.jl,8.67303173,839222590,0.345619084,14054364,36.771547515,4783331866,2.229259316,89263408
9df68de0,coord_limits.jl,8.628323588,839242286,0.347839581,14054363,9.489330306,1270054344,0.657548966,24016692
9df68de0,custom_themes.jl,8.559733914,839220542,0.348383677,14054364,32.294374935,4156059283,2.335511996,77557456
9df68de0,date_bar.jl,8.720530555,839233710,0.355186248,14054363,33.111951359,4411231498,2.091786952,82538316
9df68de0,density2d.jl,8.539171371,839235886,0.34452086,14054363,38.917199151,5184868699,2.470982793,96499293
9df68de0,density.jl,8.431427801,839217198,0.342555649,14054363,38.831736964,4977992558,2.610856486,93167526
9df68de0,density_dark.jl,8.740922451,839233710,0.357148578,14054363,0.249095296,49379364,0.019900918,1099320
9df68de0,discrete_bar.jl,8.696246365,839237054,0.361612924,14054364,33.851836694,4326769528,2.499581761,80986983
9df68de0,discrete_bar_horizontal.jl,8.712030685,839237054,0.365901529,14054364,33.854096894,4325870379,2.487370962,80974025
9df68de0,discrete_bar_horizontal_spacing.jl,8.806506846,839224766,0.340668888,14054364,33.473757528,4326913735,2.482515161,80995283
